lga,suburb,liveability_score,average_rent,ptv_stop_count,openspace_count,crash_count,crime_count
Yarra City Council,Abbotsford,53%,520,21,31,33,1097
Moonee Valley City Council,Aberfeldie,55%,446.25,20,2,8,797
Melton City Council,Aintree,53%,467.93,19,0,1,1084
Moonee Valley City Council,Airport West,58%,446.25,60,16,30,797
Brimbank City Council,Albanvale,56%,410,22,3,4,1128
Port Phillip City Council,Albert Park,53%,545,30,12,18,393
Brimbank City Council,Albion,56%,410,20,10,9,1128
Darebin City Council,Alphington,60%,400,29,2,8,190
Hobsons Bay City Council,Altona,61%,430,66,15,18,493
Hobsons Bay City Council,Altona Meadows,62%,505,47,55,20,535
Hobsons Bay City Council,Altona North,56%,505,107,12,51,535
Brimbank City Council,Ardeer,54%,410,13,1,11,1128
Stonnington City Council,Armadale,56%,490,58,5,14,439
Moonee Valley City Council,Ascot Vale,56%,460,63,10,25,845
Boroondara City Council,Ashburton,55%,475,28,2,9,529
Monash City Council,Ashwood,53%,496.88,30,9,10,998
Kingston City Council,Aspendale,57%,495,19,19,9,196
Kingston City Council,Aspendale Gardens,58%,482.5,17,25,8,416
Hume City Council,Attwood,54%,411,5,5,1,1353
Moonee Valley City Council,Avondale Heights,62%,440,43,30,12,357
Port Phillip City Council,Balaclava,49%,499.38,11,2,12,1316
Boroondara City Council,Balwyn,53%,575,49,14,16,378
Boroondara City Council,Balwyn North,59%,508,107,25,37,563
Greater Dandenong City Council,Bangholme,49%,396.25,13,1,18,2671
Knox City Council,Bayswater,59%,440,61,21,23,786
Maroondah City Council,Bayswater North,54%,476.67,66,10,26,1252
Cardinia Shire Council,Beaconsfield,54%,467.93,27,14,20,1084
Bayside City Council,Beaumaris,51%,630,66,7,9,314
Banyule City Council,Bellfield,54%,465,11,0,2,696
Glen Eira City Council,Bentleigh,52%,550,55,7,22,726
Glen Eira City Council,Bentleigh East,62%,474.67,146,14,39,533
Casey City Council,Berwick,76%,470,204,117,78,1716
Mitchell Shire Council,Beveridge,54%,467.93,9,17,11,1084
Bayside City Council,Black Rock,45%,653.6,26,3,12,756
Whitehorse City Council,Blackburn,63%,460,85,32,16,522
Whitehorse City Council,Blackburn North,56%,480,39,11,16,639
Whitehorse City Council,Blackburn South,57%,480,47,13,14,639
Kingston City Council,Bonbeach,55%,482.5,15,7,3,416
Knox City Council,Boronia,63%,450,118,37,27,1291
Casey City Council,Botanic Ridge,54%,442,13,14,3,1535
Whitehorse City Council,Box Hill,59%,460,90,28,30,1239
Whitehorse City Council,Box Hill North,57%,480,58,17,31,639
Whitehorse City Council,Box Hill South,60%,480,53,28,11,639
